IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
195	ayer	ko²ni²					yucu16	swanton2020observaciones																																																								
197	ahora	wítĩ́					prom01	swanton2020observaciones																																																								
197	ahora	bi³ʧi³					alco11	swanton2020observaciones																																																								
197	ahora	bi²tĩ²					zaca11	swanton2020observaciones																																																								
197	ahora	bi²na²					chal11	swanton2020observaciones																																																								
197	ahora	bi²ti²					yucu16	swanton2020observaciones																																																								
204	trabajo	tíjṍ					prom01	swanton2020observaciones																																																								
204	trabajo	ʧi³ɲu³					alco11	swanton2020observaciones																																																								
204	trabajo	ti²ɲu²					zaca11	swanton2020observaciones																																																								
204	trabajo	ti²ũ²					chal11	swanton2020observaciones																																																								
204	trabajo	ʧu²ũ²					yucu16	swanton2020observaciones																																																								
205	palabra	tòʔṍ					prom01	swanton2020observaciones																																																								
205	palabra	tu¹ʔũ³					alco11	swanton2020observaciones																																																								
205	palabra	tu²ʔũ²¹					zaca11	swanton2020observaciones																																																								
205	palabra	tu¹ʔũ²					chal11	swanton2020observaciones																																																								
205	palabra	tu¹ʔũ²					yucu16	swanton2020observaciones																																																								
206	culpa	kʷètí					prom01	swanton2020observaciones																																																								
206	culpa	kʷa¹ʧi³					alco11	swanton2020observaciones																																																								
206	culpa	kʷa²ti²¹					zaca11	swanton2020observaciones																																																								
206	culpa	kʷa¹ʧi²					chal11	swanton2020observaciones																																																								
206	culpa	kʷa¹ʧi²					yucu16	swanton2020observaciones																																																								
207	sueño	(ᴮ)-xánì					prom01	swanton2020observaciones																																																								
207	sueño	ʃa²ni²					alco11	swanton2020observaciones																																																								
207	sueño	ʧa²ni²					zaca11	swanton2020observaciones																																																								
207	sueño	xa¹ni²					chal11	swanton2020observaciones																																																								
207	sueño	sa¹ni²					yucu16	swanton2020observaciones																																																								
209	canción,  música	jáà					prom01	swanton2020observaciones																																																								
209	canción,  música	ja³a²					alco11	swanton2020observaciones																																																								
209	canción,  música	ja²a²					zaca11	swanton2020observaciones																																																								
209	canción,  música	ja²a¹					chal11	swanton2020observaciones																																																								
209	canción,  música	ja²a²					yucu16	swanton2020observaciones																																																								
