IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
121,achi,fifteen,quince,xaʔu̧
122,achi,guts,tripas,xiti
123,achi,ten,diez,uši
124,achi,cold,frío,ƀixi̧
125,achi,sandal,huarache,ⁿdixa̧
126,achi,housepot,horcón,ti si̧ʔi̧
127,achi,name,nombre,[na̧ni̧]
128,achi,cacao,cacao,NA
129,achi,ear,oreja,soʔo
130,achi,tasty,sabroso,asi
131,achi,closed,cerrado,ⁿdesi
132,achi,day after tomorrow,pasado mañana,isa
133,achi,sweet,dulce,xa ƀisi
134,achi,now,ahora,ƀitNa̧
135,achi,hole,agujero,NA
136,achi,afraid,tiene miedo,žuʔu
137,achi,poor,pobre,ⁿdaʔƀi
138,achi,two,dos,uu
139,achi,scorpion,alacrán,NA
140,achi,go out,salir,ke koo
141,achi,paint,pintar,NA
142,achi,rat,rata,tni̧ņi̧
143,achi,swelling,hinchazón,kʷi̧ņu̧
144,achi,pimple,grano,NA
145,achi,it thunders,truena,ka̧ʔⁿdi
146,achi,rainbow,arco iris,xȩʔⁿde žoo
147,achi,bird,pájaro,ti saa
148,achi,frog,rana,NA
149,achi,navel,ombligo,NA
150,achi,urine,orina,NA
151,achi,chachalaca,chachalaca,NA
152,achi,smooth,lisa,NA
153,achi,little,chico,luli
154,achi,day,día,kiƀi
155,achi,when,cuándo,na̧ ʔa̧ma̧
156,achi,plain,llano,žoso
157,achi,how,cómo,na̧ša
158,achi,carry,cargar,ⁿdiso
159,achi,cockroach,cucaracha,NA
160,achi,glue,pegamento,[kiši]
161,achi,sickness,enfermedad,kʷeʔe
162,achi,see,ver,xito ⁿdee
163,achi,slow,despacio,kʷee
164,achi,house,casa,ƀeʔe
165,achi,mamey,mamey,NA
166,achi,grind,moler,ⁿdiko
167,achi,wing,ala,ⁿdixi̧
168,achi,stool,banquito,NA
169,achi,cornfield,milpa,itu
170,achi,yesterday,ayer,iku
171,achi,other,otro,tuku
172,achi,comb,peine,kukʷa
173,achi,be born,se nació,kaku
174,achi,smart,sabio,[ņa̧ma̧]
175,achi,stone,piedra,žuu
176,achi,mouth,boca,žuʔu
177,achi,I,yo,[ma̧a̧-ⁿdi]
178,achi,dew,rocío,žužu
179,achi,brush,hierba,žuku
180,achi,furrow,surco,NA
181,achi,trousers,calzón,NA
182,achi,priest,sacerdote,sutu
183,achi,brand,fierro,[kaa]
184,achi,will know,sabrá,NA
185,achi,squirrel,ardilla,kʷa̧nu̧
186,achi,loose,floja,ni̧ taža
187,achi,heavy,pesado,ƀee
188,achi,tobacco,tobaco,i̧nu̧
1,yuca,rain,lluvia,sawi
2,yuca,agave,maguey,žawi
3,yuca,straw mat,petate,žuu
4,yuca,four,cuatro,ku̧u̧
5,yuca,feather,pluma,tnu̧u̧
6,yuca,tail,cola,su̧ʔma̧
7,yuca,wax,cera,ņu̧ma̧
8,yuca,nose,nariz,ṣ̌itni̧
9,yuca,word,palabra,tnu̧ʔu̧
10,yuca,near,está cerca,žatNi̧
11,yuca,tree,árbol,žutnu̧
12,yuca,deer,venado,isu
13,yuca,lard,manteca,ṣ̌ȩʔȩ
14,yuca,smell,olor,šiko
15,yuca,tortilla,tortilla,ṣ̌ita
16,yuca,vomits,vomita,ⁿduxa̧
17,yuca,lazy,flojo,[kuṣ̌i]
18,yuca,bed,cama,xito
19,yuca,griddle,comal,xižo
20,yuca,sin,culpa,kʷeči
21,yuca,bean,frijol,ⁿduči
22,yuca,water,agua,ⁿdute
23,yuca,river,río,ʐ̌ute
24,yuca,mud,lodo,ⁿdeʔžu
25,yuca,man's brother,hermano de h.,ņa̧ni̧
26,yuca,three,tres,u̧ni̧
27,yuca,tooth,diente,nu̧ʔu̧
28,yuca,five,cinco,u̧ʔu̧
29,yuca,bitter,amargo,uwa
30,yuca,meat,carne,ku̧ņu̧
31,yuca,red,rojo,kʷeʔe
32,yuca,(he) went,se fue,kʷa̧ʔa̧
33,yuca,seven,siete,uxa
34,yuca,thread,hilo,žuʔwa
35,yuca,animal,animal,kiti
36,yuca,it finishes,se acaba,ⁿdiʔi
37,yuca,egg,blanquillo,ⁿdiwi
38,yuca,foam,espuma,ti i̧ņu̧
39,yuca,blood,sangre,ni̧ņi̧
40,yuca,husband,marido,žii
41,yuca,salt,sal,ņi̧i̧
42,yuca,net bag,red,ņu̧nu̧
43,yuca,gourd,jícara,žaxi̧
44,yuca,squash,calabaza,žikⁿ
45,yuca,coati,tejón coatí,žiži
46,yuca,food,comida,ⁿdežu
47,yuca,salty,salado,uʔwa
48,yuca,blouse,huipil,šiku
49,yuca,work,trabajo,(t)ni̧ņu̧
49,yuca,work,trabajo,(t)ni̧ņo̧
50,yuca,cotton,algodón,kači
51,yuca,wind,viento,tači
52,yuca,man,hombre,tee
53,yuca,round,redondon,[ti ⁿduu]
